"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"VIOLET","..","..","..","626","21","0.4479"
"VIOLETA","..","..","..","9","2,160","0.0064"
"VIOLETT","..","..","..","6","2,824","0.0043"
"VIOLETTA","..","..","..","9","2,160","0.0064"
"VIOLETTE","..","..","..","76","384","0.0544"
"VIONA","..","..","..","..","..",".."
"VIR","..","..","..","..","..",".."
"VIRAAJ","25","947","0.0166","..","..",".."
"VIRAJ","76","386","0.0503","..","..",".."
"VIRANSH","..","..","..","..","..",".."
"VIRASAT","15","1,355","0.0099","13","1,645","0.0093"
"VIRAT","9","1,963","0.0060","..","..",".."
"VIREN","..","..","..","..","..",".."
"VIRGIL","5","2,931","0.0033","..","..",".."
"VIRGINIA","..","..","..","11","1,860","0.0079"
"VIRGINIE","..","..","..","..","..",".."
"VISHAL","..","..","..","..","..",".."
"VISHNU","..","..","..","..","..",".."
"VISHWA","..","..","..","..","..",".."
"VITA","..","..","..","..","..",".."
"VITHURAN","..","..","..","..","..",".."
"VITHUSAN","..","..","..","..","..",".."
"VITHUSHAN","..","..","..","..","..",".."
"VITO","13","1,505","0.0086","..","..",".."
"VITTORIA","..","..","..","8","2,326","0.0057"
"VITTORIO","..","..","..","..","..",".."
"VIVAAN","40","657","0.0265","..","..",".."
"VIVAN","12","1,605","0.0079","..","..",".."
"VIVEK","..","..","..","..","..",".."
"VIVIAN","..","..","..","109","264","0.0780"
"VIVIANA","..","..","..","18","1,292","0.0129"
"VIVIANE","..","..","..","26","976","0.0186"
"VIVIANNA","..","..","..","..","..",".."
"VIVIANNE","..","..","..","24","1,025","0.0172"
"VIVIEN","..","..","..","13","1,645","0.0093"
"VIVIENNE","..","..","..","61","470","0.0436"
"VIYA","..","..","..","5","3,197","0.0036"
"VIYAAN","8","2,136","0.0053","..","..",".."
"VIYAN","8","2,136","0.0053","..","..",".."
"VIYANA","..","..","..","..","..",".."
"VIYONA","..","..","..","..","..",".."
"VLAD","..","..","..","..","..",".."
"VLADIMIR","8","2,136","0.0053","..","..",".."
"VLADISLAV","..","..","..","..","..",".."
"VLIET","..","..","..","..","..",".."
"VOLODYMYR","..","..","..","..","..",".."
"VON","10","1,815","0.0066","..","..",".."
"VONN","..","..","..","..","..",".."
"VRAJ","..","..","..","..","..",".."
"VRIES","..","..","..","..","..",".."
"VRINDA","..","..","..","..","..",".."
"VUK","7","2,348","0.0046","..","..",".."
"VY","..","..","..","..","..",".."
"VYAN","..","..","..","..","..",".."
"VYLA","..","..","..","..","..",".."
"VYOM","38","683","0.0252","..","..",".."
"WAARIS","..","..","..","..","..",".."
"WACEY","..","..","..","..","..",".."
"WADE","54","508","0.0357","..","..",".."
"WAEL","11","1,696","0.0073","..","..",".."
"WAFA","..","..","..","..","..",".."
"WAFAA","..","..","..","..","..",".."
"WAHAJ","..","..","..","..","..",".."
"WAHENOOR","6","2,614","0.0040","9","2,160","0.0064"
"WAHID","..","..","..","..","..",".."
"WAI","..","..","..","..","..",".."
"WAJIHA","..","..","..","..","..",".."
"WALDEN","..","..","..","..","..",".."
"WALEED","17","1,244","0.0113","..","..",".."
"WALI","18","1,198","0.0119","..","..",".."
"WALID","9","1,963","0.0060","..","..",".."
"WALKER","250","125","0.1655","5","3,197","0.0036"
"WALLACE","32","778","0.0212","..","..",".."
"WALLY","6","2,614","0.0040","..","..",".."
"WALTER","110","287","0.0728","..","..",".."
"WAN","..","..","..","..","..",".."
"WANDA","..","..","..","..","..",".."
"WANIA","..","..","..","6","2,824","0.0043"
"WANIYA","..","..","..","..","..",".."
"WARD","6","2,614","0.0040","..","..",".."
"WARDA","..","..","..","..","..",".."
"WAREESHA","..","..","..","..","..",".."
"WARIS","83","362","0.0549","..","..",".."
"WARNER","8","2,136","0.0053","..","..",".."
"WARREN","49","554","0.0324","..","..",".."
"WARRICK","..","..","..","..","..",".."
"WARSAME","..","..","..","..","..",".."
"WASEEM","6","2,614","0.0040","..","..",".."
"WASI","..","..","..","..","..",".."
"WASIM","..","..","..","..","..",".."
"WASSIM","18","1,198","0.0119","..","..",".."
"WATEEN","..","..","..","11","1,860","0.0079"
"WATSON","45","595","0.0298","..","..",".."
"WAVERLEY","..","..","..","..","..",".."
"WAVERLY","..","..","..","15","1,473","0.0107"
"WAYDE","..","..","..","..","..",".."
"WAYLEN","15","1,355","0.0099","..","..",".."
"WAYLON","171","192","0.1132","..","..",".."
"WAYNE","24","982","0.0159","..","..",".."
"WEDNESDAY","..","..","..","..","..",".."
"WEI","..","..","..","..","..",".."
"WELLINGTON","..","..","..","..","..",".."
"WELLS","72","407","0.0477","..","..",".."
"WEN","..","..","..","..","..",".."
"WENDEL","..","..","..","..","..",".."
"WENDELL","..","..","..","..","..",".."
"WENDY","..","..","..","18","1,292","0.0129"
"WERONIKA","..","..","..","..","..",".."
"WES","44","607","0.0291","..","..",".."
"WESAM","..","..","..","..","..",".."
"WESLEY","458","52","0.3032","..","..",".."
"WESLY","..","..","..","..","..",".."
"WESLYN","..","..","..","..","..",".."
"WESSAM","..","..","..","..","..",".."
"WESSON","13","1,505","0.0086","..","..",".."
"WEST","..","..","..","..","..",".."
"WESTEN","7","2,348","0.0046","..","..",".."
"WESTIN","19","1,158","0.0126","..","..",".."
"WESTLEY","46","583","0.0305","..","..",".."
"WESTLYN","..","..","..","..","..",".."
"WESTON","286","108","0.1893","..","..",".."
"WESTYN","25","947","0.0166","..","..",".."
"WEYLYN","..","..","..","..","..",".."
"WHITLEY","..","..","..","..","..",".."
"WHITNEY","..","..","..","21","1,136","0.0150"
"WHYATT","..","..","..","..","..",".."
"WIAM","..","..","..","..","..",".."
"WIILIAM","..","..","..","..","..",".."
"WIL","..","..","..","..","..",".."
"WILBUR","..","..","..","..","..",".."
"WILDER","62","461","0.0410","..","..",".."
"WILEY","..","..","..","..","..",".."
"WILFRED","21","1,086","0.0139","..","..",".."
"WILFREDO","..","..","..","..","..",".."
"WILFRID","..","..","..","..","..",".."
"WILHELM","6","2,614","0.0040","..","..",".."
"WILHELMINA","..","..","..","8","2,326","0.0057"
"WILHEM","..","..","..","..","..",".."
"WILIAM","..","..","..","..","..",".."
"WILL","31","796","0.0205","..","..",".."
"WILLA","..","..","..","84","345","0.0601"
"WILLAMINA","..","..","..","6","2,824","0.0043"
"WILLARD","5","2,931","0.0033","..","..",".."
"WILLEM","29","837","0.0192","..","..",".."
"WILLIAM","1,341","5","0.8878","..","..",".."
"WILLIAM-ALEXANDRE","..","..","..","..","..",".."
"WILLIAMS","..","..","..","..","..",".."
"WILLIAN","..","..","..","..","..",".."
"WILLIE","5","2,931","0.0033","..","..",".."
"WILLIS","..","..","..","..","..",".."
"WILLOW","9","1,963","0.0060","369","61","0.2640"
"WILLY","10","1,815","0.0066","..","..",".."
"WILLYAM","..","..","..","..","..",".."
"WILMA","..","..","..","..","..",".."
"WILSON","26","911","0.0172","..","..",".."
"WILYAM","..","..","..","..","..",".."
"WINCY","..","..","..","..","..",".."
"WINDSOR","..","..","..","..","..",".."
"WING","..","..","..","..","..",".."
"WINIFRED","..","..","..","24","1,025","0.0172"
"WINNER","..","..","..","..","..",".."
"WINNIE","..","..","..","45","629","0.0322"
"WINNIFRED","..","..","..","11","1,860","0.0079"
"WINONA","..","..","..","12","1,739","0.0086"
"WINRY","..","..","..","9","2,160","0.0064"
"WINSLET","..","..","..","..","..",".."
"WINSLOW","..","..","..","15","1,473","0.0107"
"WINSON","..","..","..","..","..",".."
"WINSTON","64","453","0.0424","..","..",".."
"WINTA","..","..","..","..","..",".."
"WINTER","6","2,614","0.0040","37","735","0.0265"
"WISAM","..","..","..","..","..",".."
"WISDOM","..","..","..","..","..",".."
"WISSAL","..","..","..","..","..",".."
"WISSAM","9","1,963","0.0060","..","..",".."
"WISSEM","..","..","..","..","..",".."
"WOLF","10","1,815","0.0066","..","..",".."
"WOLFE","6","2,614","0.0040","..","..",".."
"WOLFGANG","17","1,244","0.0113","..","..",".."
"WON","..","..","..","..","..",".."
"WOODROW","6","2,614","0.0040","..","..",".."
"WOODS","..","..","..","..","..",".."
"WOODY","..","..","..","..","..",".."
"WREN","34","747","0.0225","241","91","0.1724"
"WRENLEE","..","..","..","11","1,860","0.0079"
"WRENLEIGH","..","..","..","5","3,197","0.0036"
"WRENLEY","..","..","..","110","258","0.0787"
"WRENLY","..","..","..","6","2,824","0.0043"
"WRENN","..","..","..","..","..",".."
"WRENNA","..","..","..","7","2,557","0.0050"
"WYATT","448","57","0.2966","..","..",".."
"WYK","..","..","..","..","..",".."
"WYLDER","30","820","0.0199","..","..",".."
"WYLIAM","..","..","..","..","..",".."
"WYLIE","12","1,605","0.0079","..","..",".."
"WYLLIAM","..","..","..","..","..",".."
"WYN","..","..","..","..","..",".."
"WYNN","8","2,136","0.0053","18","1,292","0.0129"
"WYNNE","..","..","..","7","2,557","0.0050"
"WYNNIE","..","..","..","..","..",".."
"WYNONA","..","..","..","5","3,197","0.0036"
"WYNONNA","..","..","..","..","..",".."
"WYNSTON","..","..","..","..","..",".."
"WYNTER","..","..","..","23","1,059","0.0165"
"WYNTON","..","..","..","..","..",".."
"XAN","..","..","..","..","..",".."
"XANDER","97","314","0.0642","..","..",".."
"XANDRA","..","..","..","..","..",".."
"XARA","..","..","..","..","..",".."
"XAVI","..","..","..","..","..",".."
"XAVIA","..","..","..","7","2,557","0.0050"
"XAVIER","346","81","0.2291","..","..",".."
"XAVIERA","..","..","..","..","..",".."
"XAVION","..","..","..","..","..",".."
"XAVIOR","..","..","..","..","..",".."
"XAVYER","..","..","..","..","..",".."
"XENA","..","..","..","14","1,551","0.0100"
"XENIA","..","..","..","..","..",".."
"XERXES","..","..","..","..","..",".."
"XI","..","..","..","..","..",".."
"XIA","..","..","..","7","2,557","0.0050"
"XIAN","8","2,136","0.0053","..","..",".."
"XIANG","..","..","..","..","..",".."
"XIAO","..","..","..","..","..",".."
"XIMENA","..","..","..","12","1,739","0.0086"
"XIN","..","..","..","..","..",".."
"XING","..","..","..","..","..",".."
"XINTONG","..","..","..","..","..",".."
"XINYI","..","..","..","..","..",".."
"XINYUE","..","..","..","..","..",".."
"XIOMARA","..","..","..","7","2,557","0.0050"
"XUAN","..","..","..","..","..",".."
"XUE","..","..","..","..","..",".."
"XYLA","..","..","..","7","2,557","0.0050"
"XYRA","..","..","..","..","..",".."
"XZANDER","..","..","..","..","..",".."
"XZAVIER","..","..","..","..","..",".."
"YA","..","..","..","..","..",".."
"YAAKOV","8","2,136","0.0053","..","..",".."
"YACINE","14","1,430","0.0093","6","2,824","0.0043"
"YACOB","..","..","..","..","..",".."
"YACOUB","7","2,348","0.0046","..","..",".."
"YACOUT","..","..","..","..","..",".."
"YAEL","7","2,348","0.0046","15","1,473","0.0107"
"YAELLE","..","..","..","8","2,326","0.0057"
"YAFET","11","1,696","0.0073","..","..",".."
"YAHIA","18","1,198","0.0119","..","..",".."
"YAHYA","91","333","0.0602","..","..",".."
"YAHYE","..","..","..","..","..",".."
"YAIR","..","..","..","..","..",".."
"YAKINE","..","..","..","..","..",".."
"YAKOV","6","2,614","0.0040","..","..",".."
"YALDA","..","..","..","..","..",".."
"YAMAN","8","2,136","0.0053","..","..",".."
"YAMEN","7","2,348","0.0046","..","..",".."
"YAMIN","..","..","..","..","..",".."
"YAMINA","..","..","..","..","..",".."
"YAN","15","1,355","0.0099","..","..",".."
"YANA","..","..","..","17","1,348","0.0122"
"YANCY","..","..","..","..","..",".."
"YANET","..","..","..","..","..",".."
"YANG","..","..","..","..","..",".."
"YANI","5","2,931","0.0033","..","..",".."
"YANIC","..","..","..","..","..",".."
"YANICK","..","..","..","..","..",".."
"YANIK","..","..","..","..","..",".."
"YANIS","53","520","0.0351","..","..",".."
"YANISS","..","..","..","..","..",".."
"YANIV","..","..","..","..","..",".."
"YANKY","..","..","..","..","..",".."
"YANN","8","2,136","0.0053","..","..",".."
"YANNA","..","..","..","..","..",".."
"YANNI","6","2,614","0.0040","..","..",".."
"YANNIC","..","..","..","..","..",".."
"YANNICK","7","2,348","0.0046","..","..",".."
"YANNIE","..","..","..","..","..",".."
"YANNIK","..","..","..","..","..",".."
"YANNIS","13","1,505","0.0086","..","..",".."
"YANRICK","..","..","..","..","..",".."
"YAO","..","..","..","..","..",".."
"YAQUB","..","..","..","..","..",".."
"YARA","..","..","..","103","286","0.0737"
"YARED","13","1,505","0.0086","..","..",".."
"YARETZI","..","..","..","..","..",".."
"YAROSLAV","..","..","..","..","..",".."
"YASAMAN","..","..","..","..","..",".."
"YASAMIN","..","..","..","..","..",".."
"YASEEN","41","648","0.0271","..","..",".."
"YASEMIN","..","..","..","..","..",".."
"YASER","..","..","..","..","..",".."
"YASH","15","1,355","0.0099","..","..",".."
"YASHAR","..","..","..","..","..",".."
"YASHFA","..","..","..","6","2,824","0.0043"
"YASHIKA","..","..","..","5","3,197","0.0036"
"YASHVEER","..","..","..","..","..",".."
"YASHVI","..","..","..","..","..",".."
"YASIN","26","911","0.0172","..","..",".."
"YASIR","19","1,158","0.0126","..","..",".."
"YASMA","..","..","..","5","3,197","0.0036"
"YASMEEN","..","..","..","24","1,025","0.0172"
"YASMIN","..","..","..","29","889","0.0207"
"YASMINA","..","..","..","21","1,136","0.0150"
"YASMINE","..","..","..","100","296","0.0716"
"YASNA","..","..","..","7","2,557","0.0050"
"YASSER","17","1,244","0.0113","..","..",".."
"YASSIN","14","1,430","0.0093","..","..",".."
"YASSINE","22","1,048","0.0146","..","..",".."
"YASSIR","..","..","..","..","..",".."
"YASSMINE","..","..","..","..","..",".."
"YAZAN","44","607","0.0291","..","..",".."
"YAZEED","..","..","..","..","..",".."
"YAZEN","..","..","..","..","..",".."
"YAZID","11","1,696","0.0073","..","..",".."
"YAZMIN","..","..","..","..","..",".."
"YECHIEL","..","..","..","..","..",".."
"YEE","..","..","..","..","..",".."
"YEHIA","..","..","..","..","..",".."
"YEHOSHUA","..","..","..","..","..",".."
"YEHUDA","9","1,963","0.0060","..","..",".."
"YEHUDIS","..","..","..","..","..",".."
"YEHYA","..","..","..","..","..",".."
"YEKTA","..","..","..","..","..",".."
"YELENA","..","..","..","9","2,160","0.0064"
"YEMARIAM","..","..","..","..","..",".."
"YEN","..","..","..","..","..",".."
"YENNEFER","..","..","..","..","..",".."
"YESENIA","..","..","..","..","..",".."
"YESHUA","..","..","..","..","..",".."
"YESSENIA","..","..","..","..","..",".."
"YEVA","..","..","..","..","..",".."
"YI","7","2,348","0.0046","5","3,197","0.0036"
"YIANNI","6","2,614","0.0040","..","..",".."
"YIANNIS","..","..","..","..","..",".."
"YICHEN","5","2,931","0.0033","..","..",".."
"YICHENG","..","..","..","..","..",".."
"YIJIA","..","..","..","..","..",".."
"YILIA","..","..","..","..","..",".."
"YILIN","..","..","..","..","..",".."
"YIMING","..","..","..","..","..",".."
"YIN","..","..","..","..","..",".."
"YING","..","..","..","..","..",".."
"YINUO","..","..","..","..","..",".."
"YISRAEL","..","..","..","..","..",".."
"YISROEL","7","2,348","0.0046","..","..",".."
"YITTY","..","..","..","8","2,326","0.0057"
"YITZCHAK","..","..","..","..","..",".."
"YITZCHOK","..","..","..","..","..",".."
"YIYI","..","..","..","..","..",".."
"YLAN","..","..","..","..","..",".."
"YNA","..","..","..","..","..",".."
"YOAB","..","..","..","..","..",".."
"YOADAN","..","..","..","..","..",".."
"YOAN","12","1,605","0.0079","..","..",".."
"YOANN","..","..","..","..","..",".."
"YOANNA","..","..","..","..","..",".."
"YOCHEVED","..","..","..","7","2,557","0.0050"
"YOEL","16","1,299","0.0106","..","..",".."
"YOELA","..","..","..","..","..",".."
"YOHAN","35","725","0.0232","..","..",".."
"YOHANA","..","..","..","..","..",".."
"YOHANN","8","2,136","0.0053","..","..",".."
"YOHANNA","..","..","..","6","2,824","0.0043"
"YOHANNES","..","..","..","..","..",".."
"YOLANDA","..","..","..","5","3,197","0.0036"
"YOMNA","..","..","..","..","..",".."
"YONA","..","..","..","5","3,197","0.0036"
"YONAH","..","..","..","..","..",".."
"YONAS","5","2,931","0.0033","..","..",".."
"YONATAN","11","1,696","0.0073","..","..",".."
"YONATHAN","..","..","..","..","..",".."
"YONIS","..","..","..","..","..",".."
"YOONA","..","..","..","..","..",".."
"YORICK","..","..","..","..","..",".."
"YORKABEL","..","..","..","..","..",".."
"YOSAN","..","..","..","5","3,197","0.0036"
"YOSEF","22","1,048","0.0146","..","..",".."
"YOSEPH","..","..","..","..","..",".."
"YOSIAS","..","..","..","..","..",".."
"YOSRA","..","..","..","6","2,824","0.0043"
"YOSSEF","..","..","..","..","..",".."
"YOSSI","6","2,614","0.0040","..","..",".."
"YOSTINA","..","..","..","12","1,739","0.0086"
"YOSYAS","6","2,614","0.0040","..","..",".."
"YOTAM","..","..","..","..","..",".."
"YOUCEF","15","1,355","0.0099","..","..",".."
"YOUMA","..","..","..","..","..",".."
"YOUMNA","..","..","..","..","..",".."
"YOUNES","44","607","0.0291","..","..",".."
"YOUNESS","..","..","..","..","..",".."
"YOUNIS","17","1,244","0.0113","..","..",".."
"YOUNUS","..","..","..","..","..",".."
"YOURI","..","..","..","..","..",".."
"YOUSAF","..","..","..","..","..",".."
"YOUSEF","60","476","0.0397","..","..",".."
"YOUSIF","13","1,505","0.0086","..","..",".."
"YOUSOF","..","..","..","..","..",".."
"YOUSRA","..","..","..","15","1,473","0.0107"
"YOUSSEF","81","367","0.0536","..","..",".."
"YOUSSOF","..","..","..","..","..",".."
"YOUSSOUF","12","1,605","0.0079","..","..",".."
"YOUSSRA","..","..","..","..","..",".."
"YOUSUF","26","911","0.0172","..","..",".."
"YSABEL","..","..","..","..","..",".."
"YSABELLA","..","..","..","14","1,551","0.0100"
"YSABELLE","..","..","..","7","2,557","0.0050"
"YU","..","..","..","..","..",".."
"YUAN","..","..","..","..","..",".."
"YUCHEN","..","..","..","..","..",".."
"YUE","..","..","..","..","..",".."
"YUEL","7","2,348","0.0046","..","..",".."
"YUEN","..","..","..","..","..",".."
"YUG","28","860","0.0185","..","..",".."
"YUHAN","..","..","..","..","..",".."
"YUI","..","..","..","..","..",".."
"YUK","..","..","..","..","..",".."
"YUKI","..","..","..","..","..",".."
"YULIA","..","..","..","5","3,197","0.0036"
"YUMA","..","..","..","..","..",".."
"YUMI","..","..","..","11","1,860","0.0079"
"YUMNA","..","..","..","11","1,860","0.0079"
"YUN","..","..","..","..","..",".."
"YUNA","..","..","..","43","652","0.0308"
"YUNAY","11","1,696","0.0073","..","..",".."
"YUNIS","..","..","..","..","..",".."
"YUNUS","40","657","0.0265","..","..",".."
"YUQI","..","..","..","..","..",".."
"YURI","5","2,931","0.0033","6","2,824","0.0043"
"YUSEF","21","1,086","0.0139","..","..",".."
"YUSHA","5","2,931","0.0033","..","..",".."
"YUSIF","..","..","..","..","..",".."
"YUSRA","..","..","..","78","371","0.0558"
"YUSSEF","..","..","..","..","..",".."
"YUSSUF","..","..","..","..","..",".."
"YUSUF","189","171","0.1251","..","..",".."
"YUTONG","..","..","..","..","..",".."
"YUVAAN","37","696","0.0245","..","..",".."
"YUVAN","13","1,505","0.0086","..","..",".."
"YUVEN","..","..","..","..","..",".."
"YUVIN","9","1,963","0.0060","..","..",".."
"YUVRAAJ","..","..","..","..","..",".."
"YUVRAJ","65","442","0.0430","..","..",".."
"YUXI","..","..","..","..","..",".."
"YUXIN","..","..","..","..","..",".."
